,Like Count
0,20200
1,13100
2,8251
3,7866
4,796
5,8795
6,595
7,2371
8,1348
9,4596
10,202
11,295
12,20300
13,3902
14,8097
15,1234
16,0
17,1
18,722
19,16
20,31
21,242
22,236
23,120
24,8356
25,220
26,61
27,9
28,117
29,1020
30,11
31,142
32,882
33,23
34,33
35,2653
36,66
37,193
38,380
39,7
40,7608
41,185
42,403
43,3483
44,428
45,106
46,0
47,0
48,20
49,0
50,0
51,0
52,0
53,0
54,1
55,23
56,0
57,32
58,1205
59,187
60,55
61,337
62,122
63,419
64,127
65,63000
66,128
67,43
68,12
69,54
70,22
71,540
72,390
73,13
74,15
75,15000
76,7
77,14
78,137
79,0
80,24
81,29
82,10
83,197
84,1266
85,41
86,35
87,23
88,8
89,5
90,3
91,1
92,20
93,0
94,126
95,27
96,77
97,16
98,10
99,21
100,11
101,1
102,11
103,0
104,13
105,47
106,1308
107,8
108,0
109,3
110,7
111,12
112,87
113,218
114,211
115,7133
116,460
117,66
118,57
119,16
120,975
121,3
122,0
123,0
124,2
125,3
126,177
127,6
128,328
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,43
141,0
142,1
143,0
144,6
145,25
146,8
147,2
148,30
149,1
150,5
151,1
152,1
153,12
154,102
155,2
156,14
157,12
158,178
159,80
160,50900
161,78900
162,4039
163,7858
164,19100
165,813
166,14700
167,9586
168,8963
169,46200
170,28100
171,6682
172,20200
173,8765
174,770
175,24300
176,821
177,1542
178,2208
179,301
180,467
181,95
182,57
183,331
184,2164
185,108
186,71
187,1
188,0
189,0
190,0
191,0
192,3
193,1
194,0
195,0
196,1
197,0
198,0
199,2
200,5
201,2
202,16
203,1
204,0
205,49
206,457
207,206
208,222
209,3224
210,385
211,178
212,851
213,77
214,2733
215,43
216,86
217,1145
218,116
219,371
220,312
221,532
222,740
223,2082
224,83000
225,82
226,749
227,2406
228,1059
229,54
230,3557
231,425
232,3159
233,144
234,63
235,254
236,386
237,74
238,161
239,31
240,1604
241,121
242,279
243,2586
244,15
245,91
246,699
247,103
248,1330
249,1468
250,162
251,1052
252,35000
253,23000
254,3869
255,9084
256,21000
257,2705
258,3102
259,2636
260,33000
261,1758
262,13000
263,28000
264,1019
265,36000
266,8447
267,23000
268,1679
269,10000
270,3846
271,15000
272,5752
273,2197
274,274
275,224
276,140
277,12000
278,462
279,4506
280,139
281,718
282,119
283,1016
284,10000
